hour_index,timestamp_utc,excel_time,upsets_proton_raw,upsets_proton_filled,is_missing_proton,fill_method,background_proton_gp,event_proton_sp,gcl_ratio,skl_ratio,upsets_total_nu
127,2021-01-06T07:00:00Z,44202.2916667,0.846597587938,0.846597587938,false,raw,0.716112544267,0.130485043671,10.7,3,8.90045694261
128,2021-01-06T08:00:00Z,44202.3333333,0.676659813695,0.676659813695,false,raw,0.710853620919,0,10.7,3,8.31698736475
129,2021-01-06T09:00:00Z,44202.375,0.701832725046,0.701832725046,false,raw,0.707124833492,0,10.7,3,8.27336055186
130,2021-01-06T10:00:00Z,44202.4166667,0.741573219008,0.741573219008,false,raw,0.707419755951,0.034153463057,10.7,3,8.41342499685
131,2021-01-06T11:00:00Z,44202.4583333,0.65699247476,0.65699247476,false,raw,0.706731603548,0,10.7,3,8.26875976151
132,2021-01-06T12:00:00Z,44202.5,0.668699299002,0.668699299002,false,raw,0.706096486746,0,10.7,3,8.26132889493
133,2021-01-06T13:00:00Z,44202.5416667,0.623043186739,0.623043186739,false,raw,0.705538663779,0,10.7,3,8.25480236622
134,2021-01-06T14:00:00Z,44202.5833333,0.655979513684,0.655979513684,false,raw,0.705205943617,0,10.7,3,8.25090954032
135,2021-01-06T15:00:00Z,44202.625,0.680405013799,0.680405013799,false,raw,0.70347180288,0,10.7,3,8.2306200937
136,2021-01-06T16:00:00Z,44202.6666667,0.68677579331,0.68677579331,false,raw,0.701826664214,0,10.7,3,8.21137197131
137,2021-01-06T17:00:00Z,44202.7083333,0.763841865716,0.763841865716,false,raw,0.702160540613,0.0616813251032,10.7,3,8.46200362558
138,2021-01-06T18:00:00Z,44202.75,0.826630997397,0.826630997397,false,raw,0.703143987313,0.123487010084,10.7,3,8.7207326919
139,2021-01-06T19:00:00Z,44202.7916667,0.788268549348,0.788268549348,false,raw,0.704127434014,0.0841411153344,10.7,3,8.5748554393
140,2021-01-06T20:00:00Z,44202.8333333,0.892829537529,0.892829537529,false,raw,0.705110880714,0.187718656815,10.7,3,9.00067193161
141,2021-01-06T21:00:00Z,44202.875,1.0075084682,1.0075084682,false,raw,0.705253475069,0.302254993131,10.7,3,9.46048563083
142,2021-01-06T22:00:00Z,44202.9166667,1.02199596571,1.02199596571,false,raw,0.705396069424,0.316599896286,10.7,3,9.51953359741
143,2021-01-06T23:00:00Z,44202.9583333,0.933833165444,0.933833165444,false,raw,0.705538663779,0.228294501665,10.7,3,9.16798037288
144,2021-01-07T00:00:00Z,44203,1.06489894135,1.06489894135,false,raw,0.705756292403,0.359142648947,10.7,3,9.6939192169
145,2021-01-07T01:00:00Z,44203.0416667,1.15353377695,1.15353377695,false,raw,0.70601143816,0.44752233879,10.7,3,10.0504231816
146,2021-01-07T02:00:00Z,44203.0833333,1.32131368085,1.32131368085,false,raw,0.706266583917,0.615047096933,10.7,3,10.7235074196
147,2021-01-07T03:00:00Z,44203.125,1.11839003894,1.11839003894,false,raw,0.706534988575,0.411855050365,10.7,3,9.91387956779
148,2021-01-07T04:00:00Z,44203.1666667,1.01208412008,1.01208412008,false,raw,0.706829911034,0.305254209046,10.7,3,9.49092679528
149,2021-01-07T05:00:00Z,44203.2083333,1.06089725457,1.06089725457,false,raw,0.707124833492,0.353772421078,10.7,3,9.68845023617
150,2021-01-07T06:00:00Z,44203.25,0.926591881594,0.926591881594,false,raw,0.707419755951,0.219172125643,10.7,3,9.1534996472
151,2021-01-07T07:00:00Z,44203.2916667,1.02505007724,1.02505007724,false,raw,0.709995154677,0.315054922563,10.7,3,9.56716299997
152,2021-01-07T08:00:00Z,44203.3333333,0.977276713535,0.977276713535,false,raw,0.712570553402,0.264706160133,10.7,3,9.39590011534
153,2021-01-07T09:00:00Z,44203.375,0.915294987042,0.915294987042,false,raw,0.715145952128,0.200149034914,10.7,3,9.16780377955
154,2021-01-07T10:00:00Z,44203.4166667,0.926444291459,0.926444291459,false,raw,0.716220670164,0.210223621295,10.7,3,9.2206763261
155,2021-01-07T11:00:00Z,44203.4583333,0.842379350664,0.842379350664,false,raw,0.716545047855,0.125834302809,10.7,3,8.88691427114
156,2021-01-07T12:00:00Z,44203.5,0.855615685641,0.855615685641,false,raw,0.716869425547,0.138746260094,10.7,3,8.94235731927
157,2021-01-07T13:00:00Z,44203.5416667,0.811857524103,0.811857524103,false,raw,0.717286165248,0.0945713588548,10.7,3,8.77053356882
158,2021-01-07T14:00:00Z,44203.5833333,0.866196121599,0.866196121599,false,raw,0.71788762897,0.148308492629,10.7,3,8.99251922946
159,2021-01-07T15:00:00Z,44203.625,0.868178109522,0.868178109522,false,raw,0.718489092691,0.149689016831,10.7,3,9.00507845181
160,2021-01-07T16:00:00Z,44203.6666667,0.754025663209,0.754025663209,false,raw,0.719090556413,0.034935106796,10.7,3,8.55309993722
